"filename", "language", "TypeScript", "Properties", "JavaScript", "comment", "blank", "total"
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/.env", "Properties", 0, -19, 0, 0, -1, -20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/app.module.js", "JavaScript", 0, 0, 10, 0, 0, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-detail.entity.d.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-detail.entity.js", "JavaScript", 0, 0, 36, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-space.entity.d.ts", "TypeScript", 7, 0, 0, 0, 1, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar-space.entity.js", "JavaScript", 0, 0, 36, 1, 0, 37
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar.entity.d.ts", "TypeScript", 6, 0, 0, 0, 1, 7
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/calendars/calendar.entity.js", "JavaScript", 0, 0, 32, 1, 0, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/tools/calendar/calendar.entity.d.ts", "TypeScript", 12, 0, 0, 0, 1, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/tools/calendar/calendar.entity.js", "JavaScript", 0, 0, 56, 1, 0, 57
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.d.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/models/users/user.entity.js", "JavaScript", 0, 0, 12, 0, 0, 12
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.module.js", "JavaScript", 0, 0, 19, 1, 0, 20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.service.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/scripts/lead-delivery/lead-delivery.service.js", "JavaScript", 0, 0, 16, 1, 0, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.controller.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.controller.js", "JavaScript", 0, 0, 122, 1, 0, 123
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.dto.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.dto.js", "JavaScript", 0, 0, 99, 1, 0, 100
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-detail/calendar-detail.service.js", "JavaScript", 0, 0, 94, 1, 0, 95
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.controller.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.controller.js", "JavaScript", 0, 0, 133, 1, 0, 134
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.dto.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.dto.js", "JavaScript", 0, 0, 100, 1, 0, 101
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.service.d.ts", "TypeScript", 19, 0, 0, 0, 1, 20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar-space/calendar-space.service.js", "JavaScript", 0, 0, 106, 1, 0, 107
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.controller.d.ts", "TypeScript", 14, 0, 0, 0, 1, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.controller.js", "JavaScript", 0, 0, 112, 1, 0, 113
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.dto.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.dto.js", "JavaScript", 0, 0, 92, 1, 0, 93
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/calendars/calendar/calendar.service.js", "JavaScript", 0, 0, 94, 1, 0, 95
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.controller.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.controller.js", "JavaScript", 0, 0, 48, 0, 0, 48
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.service.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/leads/leads/leads.service.js", "JavaScript", 0, 0, 22, 0, 0, 22
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.controller.d.ts", "TypeScript", 16, 0, 0, 0, 1, 17
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.controller.js", "JavaScript", 0, 0, 131, 1, 0, 132
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.dto.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.dto.js", "JavaScript", 0, 0, 92, 1, 0, 93
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.service.d.ts", "TypeScript", 19, 0, 0, 0, 1, 20
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/message_delivery/message_delivery.service.js", "JavaScript", 0, 0, 98, 1, 0, 99
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.controller.d.ts", "TypeScript", 15, 0, 0, 0, 1, 16
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.controller.js", "JavaScript", 0, 0, 121, 1, 0, 122
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.dto.d.ts", "TypeScript", 14, 0, 0, 0, 1, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.dto.js", "JavaScript", 0, 0, 85, 1, 0, 86
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.module.js", "JavaScript", 0, 0, 24, 1, 0, 25
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.service.d.ts", "TypeScript", 18, 0, 0, 0, 1, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/message/messages/messages.service.js", "JavaScript", 0, 0, 93, 1, 0, 94
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.controller.d.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/notes/notes/notes.controller.js", "JavaScript", 0, 0, 10, 0, 0, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.controller.js", "JavaScript", 0, 0, 1, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.dto.js", "JavaScript", 0, 0, 4, 0, 0, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.module.js", "JavaScript", 0, 0, 2, 0, 0, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.service.d.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/auth/auth.service.js", "JavaScript", 0, 0, 30, 0, 0, 30
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/team_user/team_user.controller.js", "JavaScript", 0, 0, 4, 0, 0, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.controller.d.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.controller.js", "JavaScript", 0, 0, 9, 0, 0, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.dto.d.ts", "TypeScript", 3, 0, 0, 0, 0, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.dto.js", "JavaScript", 0, 0, 13, 0, 0, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.service.d.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user/user.service.js", "JavaScript", 0, 0, 5, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_layer.module.d.ts", "TypeScript", 2, 0, 0, 0, 1, 3
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_layer.module.js", "JavaScript", 0, 0, 25, 1, 0, 26
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/dist/units/user/user_login/user_login.dto.js", "JavaScript", 0, 0, -1, 0, 0, -1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/app.module.ts", "TypeScript", 12, 0, 0, 1, 0, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/configs/config.service.ts", "TypeScript", 0, 0, 0, -7, 2, -5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/libs/logger/logger.service.ts", "TypeScript", 0, 0, 0, 0, -2, -2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/calendars/calendar-detail.entity.ts", "TypeScript", 13, 0, 0, 11, 5, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/calendars/calendar-space.entity.ts", "TypeScript", 13, 0, 0, 1, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/calendars/calendar.entity.ts", "TypeScript", 11, 0, 0, 0, 4, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/teams/teams.entity.ts", "TypeScript", 0, 0, 0, 0, -1, -1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/tools/calendar/calendar.entity.ts", "TypeScript", 23, 0, 0, 0, 10, 33
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/team_user.entity.ts", "TypeScript", 0, 0, 0, 3, 1, 4
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/user.entity.ts", "TypeScript", 6, 0, 0, 0, 3, 9
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/models/users/user_permissions.entity.ts", "TypeScript", 0, 0, 0, 3, 2, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/scripts/lead-delivery/lead-delivery.module.ts", "TypeScript", 6, 0, 0, 0, 2, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/scripts/lead-delivery/lead-delivery.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/scripts/lead-delivery/lead-delivery.service.ts", "TypeScript", 3, 0, 0, 0, 2, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.controller.ts", "TypeScript", 67, 0, 0, 0, 11, 78
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.dto.ts", "TypeScript", 69, 0, 0, 0, 15, 84
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-detail/calendar-detail.service.ts", "TypeScript", 84, 0, 0, 0, 13, 97
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.controller.ts", "TypeScript", 74, 0, 0, 0, 12, 86
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.dto.ts", "TypeScript", 68, 0, 0, 0, 15, 83
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar-space/calendar-space.service.ts", "TypeScript", 99, 0, 0, 0, 14, 113
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.controller.ts", "TypeScript", 59, 0, 0, 0, 11, 70
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.dto.ts", "TypeScript", 63, 0, 0, 0, 14, 77
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/calendars/calendar/calendar.service.ts", "TypeScript", 81, 0, 0, 0, 13, 94
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.controller.ts", "TypeScript", 26, 0, 0, 0, 5, 31
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/leads/leads/leads.service.ts", "TypeScript", 24, 0, 0, 0, 5, 29
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.controller.ts", "TypeScript", 75, 0, 0, 0, 12, 87
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.dto.ts", "TypeScript", 63, 0, 0, 0, 14, 77
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/message_delivery/message_delivery.service.ts", "TypeScript", 90, 0, 0, 0, 15, 105
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.controller.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.controller.ts", "TypeScript", 63, 0, 0, 0, 11, 74
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.dto.ts", "TypeScript", 57, 0, 0, 0, 13, 70
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.module.ts", "TypeScript", 11, 0, 0, 0, 2, 13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.service.spec.ts", "TypeScript", 14, 0, 0, 0, 5, 19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/message/messages/messages.service.ts", "TypeScript", 85, 0, 0, 0, 14, 99
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.controller.spec.ts", "TypeScript", -14, 0, 0, 0, -5, -19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.controller.ts", "TypeScript", -63, 0, 0, 0, -11, -74
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.dto.ts", "TypeScript", -57, 0, 0, 0, -15, -72
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.module.ts", "TypeScript", -11, 0, 0, 0, -2, -13
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.service.spec.ts", "TypeScript", -14, 0, 0, 0, -5, -19
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/messages/messages.service.ts", "TypeScript", -85, 0, 0, 0, -14, -99
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.controller.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/notes/notes/notes.service.ts", "TypeScript", 0, 0, 0, 0, 2, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.controller.ts", "TypeScript", 6, 0, 0, 0, 0, 6
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.dto.ts", "TypeScript", 1, 0, 0, 0, 0, 1
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.module.ts", "TypeScript", 2, 0, 0, 0, 0, 2
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/auth/auth.service.ts", "TypeScript", 39, 0, 0, 0, 2, 41
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/team_user/team_user.controller.ts", "TypeScript", 5, 0, 0, 0, 0, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.controller.ts", "TypeScript", 4, 0, 0, 0, 1, 5
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.dto.ts", "TypeScript", 7, 0, 0, 0, 3, 10
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user/user.service.ts", "TypeScript", 5, 0, 0, 0, 3, 8
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user_layer.module.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"/Users/overcodexdev/Desktop/overcodex-projects/ocx-crm-db-service/src/units/user/user_login/user_login.dto.ts", "TypeScript", -1, 0, 0, 0, 1, 0
"Total", "-", 1600, -19, 2081, 39, 294, 3995